カテゴリ,チェック項目,詳細基準/望ましい水準,参考規格・法令,証拠/確認ソース（例）,未達時の主なリスク
法規制・プライバシー,GDPR適合性,合法的根拠・目的限定・データ最小化・保存期間・越境移転(SCC)の方針が確立され適用可能,"GDPR, EDPBガイダンス","DPIA/PIA, データフロー図, DPA/標準契約条項, プライバシーポリシー",罰金・停止命令・ブランド毀損
法規制・プライバシー,DPIA/PIAの実施,高リスク処理(大規模プロファイリング等)に該当する場合はDPIAを実施し残余リスクを承認,"GDPR Art.35, 各国PIA指針","DPIAレポート, リスク受容記録(Risk Acceptance)",規制違反・訴訟リスク
法規制・プライバシー,データ主体権利への対応,アクセス/訂正/消去/ポータビリティ/異議の権利を技術的にサポート,GDPR Chapter III,"手続きSOP, チケット記録, データ削除API",苦情・罰金
法規制・プライバシー,CCPA/CPRA対応,Do Not Sell/Share対応・権利請求・未成年同意,CCPA/CPRA,"消費者権利フロー, サービスプロバイダー契約",州規制違反
法規制・プライバシー,日本APPI（個人情報保護法）,目的明示・第三者提供記録・外国第三者提供の同意/公表,"個人情報保護法, ガイドライン","取扱規程, 委託契約, 第三者提供台帳",行政措置・信用失墜
法規制・プライバシー,EU AI Act 規制影響,"用途に応じたリスク区分(禁止/高/限定/最小)の確認と義務(データガバナンス, 透明性, 記録保持等)の計画",EU AI Act,"用途定義, 技術文書, 透明性表示, ログ保持方針",販売停止・罰金
法規制・プライバシー,国際データ移転,データ所在地/経路/保管の可視化と法的根拠の確保,"GDPR Chapter V, 他各国規制","データマッピング, SCC/BCR, ベンダーDPA",違法移転リスク
法規制・プライバシー,児童/未成年データ,年齢推定・保護者同意・追加保護,"COPPA, 各国青少年保護法","同意管理ログ, 年齢ゲート実装",高リスク規制対応
法規制・プライバシー,医療/金融等セクター規制,HIPAA/GLBA等該当有無の確認と追加統制,"HIPAA, GLBA, FISC等","BAA, 監査報告, 追加暗号化/隔離設計",業法違反
法規制・プライバシー,輸出管理・制裁遵守,モデル/重み/暗号技術の輸出規制・制裁対象国/個人の排除,"EAR, OFAC等","輸出判定, スクリーニング記録",法令違反・罰金
ライセンス・IP,モデルライセンス適合性,Apache-2.0等の条件遵守(再頒布・改変・クレジット・特許条項),OSSライセンス,"LICENSE, NOTICE, 社内法務レビュー",権利侵害・配布停止
ライセンス・IP,重み/コード/データの権利帰属,"第三者権利侵害の有無, 再配布可否, 特許非主張の扱い",OSS/独自条項,"著作権表記, 依存関係SBOM/MBOM",訴訟・配布制限
ライセンス・IP,学習データの著作権・契約順守,"データセットのライセンス/ToS遵守, クローリング規約順守",各データライセンス/サイトToS,"データ出典一覧, 利用許諾証跡",著作権侵害・請求
データ管理・セキュリティ,入力/出力の機微情報制御,PII/機微情報の遮断・マスキング・自動検知,"ISO 27001/27701, NIST SP800-53","データ分類方針, DLPルール, 実装証跡",漏えい・規制違反
データ管理・セキュリティ,暗号化,"保存時AES-256相当, 通信TLS1.2/1.3, KMS運用","ISO 27001, NIST 800-57","キー管理手順, 証明書設定",盗難・改ざん
データ管理・セキュリティ,アクセス制御,"SSO/MFA/RBAC/最小権限, サービス間認証",Zero Trust原則,"権限マトリクス, IAM設定",不正アクセス
データ管理・セキュリティ,監査ログと可観測性,"誰が何をいつ生成/閲覧したかの不可逆ログ, アラート","ISO 27001 A.12,A.16","SIEM連携, ログ保持方針",追跡不能・法的防御弱体化
データ管理・セキュリティ,データ保持と削除,最小限保持・自動削除・証跡,"GDPR, 27701","Retentionポリシー, 削除監査ログ",過剰保持リスク
データ管理・セキュリティ,モデル分離/サンドボックス,"本番/検証/開発の分離, 推論環境のネットワーク隔離",CIS Benchmarks,"ネットワーク図, IaC, スキャン結果",横展開侵害
安全性・ガバナンス,安全性評価(レッドチーム),脱獄/プロンプトインジェクション/不正誘導に対する耐性試験,"NIST AI RMF, OWASP LLM","テスト計画/結果, 改善計画",不正出力・悪用
安全性・ガバナンス,コンテンツモデレーション,有害/違法/差別的コンテンツの検知・ブロック,"各国法, 企業ポリシー","ポリシー/ルール, 実測精度",法的/倫理的問題
安全性・ガバナンス,バイアス/公平性評価,"人口統計属性等の偏り評価と緩和策, 影響評価","NIST, ISO/IEC 24027","評価レポート, データ補正方針",差別・評判リスク
安全性・ガバナンス,説明可能性/透明性,モデルカード/システムカード/制約の明示,Model Card/ISO 23894,"モデルカード, ユーザー通知文面",信頼性低下
安全性・ガバナンス,人間による監督(HITL),高リスク出力に対する人手承認ワークフロー,AI Act義務(高リスク用途),"承認SOP, 監査ログ",誤用・重大事故
安全性・ガバナンス,インシデント対応,検知→封じ込め→根本原因→再発防止のSLA/連絡体制,ISO 27035,"IR手順, 連絡網, 演習記録",復旧遅延・被害拡大
モデル性能・品質,業務適合ベンチマーク,社内データでのタスク別精度/再現率/幻覚率を測定し閾値設定,社内基準,"評価指標, 比較表, 合格基準",品質不良・クレーム
モデル性能・品質,多言語/日本語性能,対象市場での品質検証(日本語読解/生成/コード等),JGLUE等ベンチ,"評価ログ, ユーザーテスト結果",市場不適合
モデル性能・品質,コンテキスト長/ツール利用,必要なコンテキスト長・関数呼出し/ツール使用の可否,製品要件,技術検証記録,要件未達
モデル性能・品質,幻覚/情報出典管理,出典提示・検証/根拠リンク・RAGの検証,社内基準,"RAG精度, ソース提示率",誤情報
供給元・メンテナンス(OSS),開発体制とアクティビティ,"リリース頻度, Issue対応SLA, メンテナー人数/継続性",OSSベストプラクティス,"コミット履歴, Issue統計",放置・脆弱性未修正
供給元・メンテナンス(OSS),脆弱性管理,"CVE公開/対応規程, セキュリティ勧告, 連絡窓口","CVE, OSV","勧告URL, 連絡手順",ゼロデイ放置
供給元・メンテナンス(OSS),SBOM/MBOM提供,依存関係(コード/モデル)のSBOM/MBOMを入手可能,"SPDX, CycloneDX",SBOM/MBOMファイル,サプライチェーン不透明
デプロイ/運用(MLOps),再現可能なビルド,"Docker/Poetry等で再現可能, 署名・ハッシュ検証","SLSA, Sigstore","ビルド手順, 署名, ハッシュ",改ざん・差し替え
デプロイ/運用(MLOps),環境/依存性セキュリティ,"CI/CDのサプライチェーン防御, 依存ライブラリのスキャン",OWASP SCVS,"SCAレポート, CI設定",依存脆弱性
デプロイ/運用(MLOps),監視とSLO/SLA,レイテンシ/エラー率/幻覚率等のSLOを定義・監視,SRE原則,"ダッシュボード, アラート設計",品質劣化の見逃し
デプロイ/運用(MLOps),A/B・カナリア,"安全なリリース戦略, ロールバック手順",DevOps/SRE,"リリースSOP, 実績",本番障害
デプロイ/運用(MLOps),コスト/TCO,推論単価・GPU要件・スケール戦略・ピーク時容量の算定,FinOps,"試算表, 負荷試験",採算悪化
トラスト・コミュニケーション,モデルカード/システムカード,用途/制約/安全策/評価/既知の限界の明示,"Model Card, System Card","公開カード, 社内版カード",誤解・不適切利用
トラスト・コミュニケーション,ユーザー通知/透明性,"AI使用の明示, 重要意思決定での説明提供",AI Act/各国指針,"UI文言, ヘルプ, 利用規約",苦情・不信
トラスト・コミュニケーション,ログ/出力の再現性,乱数固定等で監査時に再現可能な設定,社内監査要件,"設定ドキュメント, リプレイ手順",調査困難
